Fold,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Case,Dice,IoU,HD95_mm,ASSD_mm,TP,FP,FN,N_Pred,N_Ref,Pred_Empty,Ref_Empty,Spacing_ZYX
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_020,0.6999273111742549,0.5383755209921725,7.120004813988229,1.5880955163008426,5296,2215,2326,7511,7622,false,false,"(3.0000009536743164, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_022,0.81054838353746,0.6814471243042671,5.316813559465817,0.8640563686995825,3673,775,942,4448,4615,false,false,"(2.9999942779541016, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_024,0.8898682042833608,0.8015878904800772,1.3552880113231662,0.4344053948093956,10803,798,1876,11601,12679,false,false,"(2.999999761581421, 0.9583333134651184, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_026,0.8743566602434324,0.7767617231515992,3.4553199006837887,1.8051490352355997,17923,1535,3616,19458,21539,false,false,"(2.999999761581421, 0.9583333134651184, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_028,0.9141740124663446,0.8419157608695652,0.9583333730697632,0.2760401871041202,12393,492,1835,12885,14228,false,false,"(2.999997138977051, 0.9583333730697632, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_030,0.8966249704979938,0.812620320855615,0.9583333730697632,0.3333053276509378,7598,970,782,8568,8380,false,false,"(2.9999983310699463, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_032,0.746793349168646,0.5959059893858984,3.833333730697632,0.986038317549864,4716,2902,296,7618,5012,false,false,"(3.000000238418579, 0.958333432674408, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_034,0.747550866616428,0.5968712394705175,15.474722086368676,1.9054791524330121,496,128,207,624,703,false,false,"(2.999999523162842, 0.9583333134651184, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_036,0.7446259673258814,0.5931506849315068,9.787039392150735,1.324155471927767,433,83,214,516,647,false,false,"(3.0000009536743164, 0.9583333134651184, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_038,0.7124952525636157,0.5533923303834808,3.686734813387442,0.8985692247442525,938,148,609,1086,1547,false,false,"(3.0, 0.9583332538604736, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_040,0.8549048182894617,0.7465797009226853,1.9166666269302368,0.5473803764014852,4693,885,708,5578,5401,false,false,"(3.000000238418579, 0.9583333134651184, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_042,0.7832477834811012,0.6437200383509109,3.149351181993265,0.588052154917849,3357,102,1756,3459,5113,false,false,"(3.0000016689300537, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_043,0.6147859922178989,0.4438202247191011,46.307363989053286,5.0990923251730385,237,111,186,348,423,false,false,"(3.000000476837158, 0.9583332538604736, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_044,0.8249446027223805,0.7020474137931034,1.9166666269302368,0.7149397330276416,1303,121,432,1424,1735,false,false,"(3.0000014305114746, 0.9583333134651184, 0.9583333730697632)"
