Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,1,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,ET,250,250,0.554763814293307,0.4084751974413778,7.243941179116432,,0.7150574864664305,0.7939818860521323,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,WT,250,250,0.9177013559354548,0.8589494113021552,2.9484009316053807,,0.8919950480181958,0.9904489135194844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,TC,250,250,0.9010805390582124,0.84474727969006,1.896118152453621,,0.8919950480181958,0.9904489135194844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,ET,250,250,0.8572032490609203,0.7832900720667095,2.373401452920116,,0.8919950480181958,0.9904489135194844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1010,drop_t1ce_t2,FLAIR+T1,T1ce+T2,2,WT,250,250,0.916487773853836,0.8550795280339583,2.0280170188326365,,0.7598815909752675,0.8437534466778319,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1010,drop_t1ce_t2,FLAIR+T1,T1ce+T2,2,TC,250,250,0.7680283155810745,0.6535338292581351,4.747822302652058,,0.7598815909752675,0.8437534466778319,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1010,drop_t1ce_t2,FLAIR+T1,T1ce+T2,2,ET,250,250,0.5951286834908922,0.4513955680761535,5.862272929746722,,0.7598815909752675,0.8437534466778319,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1001,drop_t1_t1ce,FLAIR+T2,T1ce+T1,2,WT,250,250,0.9189166135149792,0.8597294669184438,1.6327477588470871,,0.7703091189968236,0.8553319120769285,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1001,drop_t1_t1ce,FLAIR+T2,T1ce+T1,2,TC,250,250,0.7747152649625684,0.660732388632171,4.610794951577756,,0.7703091189968236,0.8553319120769285,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1001,drop_t1_t1ce,FLAIR+T2,T1ce+T1,2,ET,250,250,0.6172954785129235,0.4743087187302668,5.485397015721743,,0.7703091189968236,0.8553319120769285,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,WT,250,250,0.8125658643427187,0.7039165562046912,6.050619754312895,,0.8532278623918926,0.9474028036009492,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,TC,250,250,0.8948523531792321,0.838031467646317,1.760661564268174,,0.8532278623918926,0.9474028036009492,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0110,drop_t2_flair,T1ce+T1,FLAIR+T2,2,ET,250,250,0.8522653696537273,0.7771026287292022,1.9926746145459069,,0.8532278623918926,0.9474028036009492,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,WT,250,250,0.8859537242268309,0.8081350744633273,3.065417372095198,,0.8760532310313268,0.9727475200540704,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,TC,250,250,0.8935073567166371,0.837392372489997,2.021262599405844,,0.8760532310313268,0.9727475200540704,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0101,drop_t1_flair,T1ce+T2,FLAIR+T1,2,ET,250,250,0.8486986121505127,0.7742446978727358,2.3707317588343213,,0.8760532310313268,0.9727475200540704,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,WT,250,250,0.8840021846070645,0.804642708119272,2.9509970228412787,,0.7376546022878349,0.8190731563049323,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,TC,250,250,0.7480400108994723,0.6298764510201258,5.579617345133369,,0.7376546022878349,0.8190731563049323,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0011,drop_t1ce_flair,T1+T2,FLAIR+T1ce,2,ET,250,250,0.580921611356968,0.4348262602259107,6.64375303304387,,0.7376546022878349,0.8190731563049323,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,WT,250,250,0.923175986474921,0.8667849209058965,2.248431685593008,,0.8963863051548545,0.9953248552297566,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,TC,250,250,0.9049299242253556,0.8535605895759675,1.7852672567821908,,0.8963863051548545,0.9953248552297566,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,ET,250,250,0.8610530047642873,0.791231918036681,2.257422148489564,,0.8963863051548545,0.9953248552297566,Fold case mean; NaN excluded
